,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
BBB,2.6719134471749504,0.05282333028526847,0.1402057162264423,1.1466273742962758,5.012041052046798,0.005648424279158492,0.4476874527474898,0.5084562035015737,0.1025843188038635,0.45115380821388296,1.4592899151238954,0.33130479331555446,0.6800627228670326,0.1590457682973348,0.12658559283836773,0.8625172917354811,0.11511195483563111,0.5476972348245539,0.13124400474636866,0.0015524712288165843,0.1915156429736555
PPB,1.6448636177587332,2.4235510422643487,0.43600873053488987,1.6825006573133412,0.41666184174581683,1.735625136931639,0.7489567126621655,0.3128217131650676,0.018171748466178566,0.3111579327125969,0.061900015331325844,0.2747337198528479,0.011540325944202852,1.001669051303907,0.5953489017339757,0.3631013351415018,0.3581309102088349,0.07880166892873748,0.20759525539337698,0.4488194636878424,0.015158310587442672
VDss,0.48255577026176655,1.718307405905013,0.7645006552210453,0.3617650905209672,4.172586448725749,0.7161892268007736,0.5091230486742123,0.052270371025561695,0.3195902024916721,5.476398022010205,0.03806797160566527,0.004752873761539987,1.8392743275574603,3.393648554045329,0.31564757600930093,0.01894957458863988,2.832108050298445,4.780044721974057,0.26449267261323633,0.5944456322532975,3.688884451276054
Fu,1.2619044861175277,0.021605725196297228,0.0162037323490127,3.499424980555417,1.9070621311185003,0.39144412438393017,6.165443896462943,1.126386564096004,0.0358300414061096,0.6593394250488841,0.9750737991034698,0.053438751759980835,0.04493070094994275,2.8085285578676342,0.05422621899114034,1.4386447600992136,0.013192798886691063,5.244172380841765,0.3667777516916026,0.14080836586303644,0.07805785963202673
CYP1A2-inh,4.011733972058735,0.13375242024809667,0.1781772924739334,0.07177598116287133,0.406120952099466,2.928220834282895,0.18169512860936057,1.1504758120543077,0.017271391582020488,0.8684579980200656,0.5988612412187466,0.47725940005996376,0.9583540319438517,0.32687208187404165,0.016593672147095662,0.022111413473190157,0.28092693509080935,0.004590659452146084,0.3789612445548697,0.39524744024146763,0.12217202583989603
CYP1A2-sub,1.0857433454440877,0.121299522545291,4.002337455201845,0.604020856949133,0.04204047032722659,0.40500390360575,0.0015731677941900378,1.1700397220730776,3.937474510252334,1.4129881360089211,1.1346076420855715,1.2869021787691444,0.8982378723071229,0.6952413518243225,6.363650240468346,5.178514145811701,0.025840817589086747,4.099484985590626,0.9113569239771699,0.1499214148230124,1.9739214913011338
CYP2C19-inh,4.071084186094518,0.0677882686155309,1.7104580181623208,0.10012464671815485,0.1812222210194908,0.012812686273699428,0.007889468835183159,0.46595526580706026,0.31034866496434826,0.16124449609799063,0.13232235609485024,0.42469844763027287,0.06046172893269324,1.116912809650367,1.1340719576030385,0.03902128559343135,0.1376176571061529,0.1825954414561451,0.27482849466933373,0.014499433600793806,0.6766891253880029
CYP2C19-sub,2.574703307283304,0.10413909933648662,3.3234783719932057,0.6340880922729059,0.1655637219602146,0.027497550925560003,1.276524265650056,0.46393406350605854,0.028596544559181605,0.6085838869720427,0.619570324410932,1.1013827653884014,0.08606266606552261,0.18451518631117425,0.002732201186007076,0.4405985312056336,3.914789783951622,0.08439415481650486,0.038556633657638256,0.003607635815372909,2.121660738517784
CYP2C9-inh,3.787742886355727,0.036462115641453324,0.003479160637268435,1.0888595520447395,0.37482737625054213,0.5641799863099052,5.828247826956985e-05,0.1429915587400051,0.0003144214959280493,1.7252052890403995,0.16647492254592922,1.9270506738367252,2.531908479166227,1.8561595139147162,1.2279123524108235,0.4195840707279207,1.4746390710985728,0.12528940759620516,0.0826710319921508,0.055100944461013344,0.2198851240237112
CYP2C9-sub,1.8869768280446408,0.12015741052324193,0.053591744790961925,0.11017443647272497,7.339128055377849,0.49918867669086164,0.24085145943324018,0.36814523235753094,1.975637498470047,0.033163238304576036,0.9091688978115744,1.5117255233896116,6.0816102155437655,2.080170911545371,0.022972454765842185,0.43041072458678137,1.303694436904774,0.2282344219976608,0.8570161880260367,0.7250398224763088,2.9414112438370306
CYP2D6-inh,3.700098836107639,0.15665145797453953,0.41448880009458827,1.0518363762090701,0.13366862195449156,0.38616007649816575,1.691000440298325,0.1129923912194078,1.0796867942692798,0.6648326943137395,0.40104909928653576,0.35122741644957023,0.43124180525630434,0.15031640266319235,0.8125869238305834,0.04666413154763027,0.4678962043287068,0.08297349641963067,0.2452191283328774,0.08609727627961941,0.14548426098570727
CYP2D6-sub,1.6082176069153031,0.4506492854003131,2.3996391459525723,0.5463922270225221,0.2635813922971248,0.00012442992269475706,3.1456657757354054,2.2710091985909338,0.7632167690125083,0.01724739424345549,0.012751463105368325,0.8295571619178096,2.081929496154553,3.0274732566978635,0.11143326753866006,0.07671680657571169,0.12740545807569642,0.07816717396703483,0.33221728743572126,0.011147166026232941,5.066109123004907
CYP3A4-inh,0.45461539757544717,0.11162589261362607,2.7995923467534647,1.5664724005593786,2.562521421305287,0.2857068484791836,0.44982521671066145,0.006921241161008731,0.0014725967570132434,0.2699399519205457,1.1169209873793349,2.871958628240719,0.03042707492935809,3.9453989031907555,12.384561868616997,2.3903786839005,0.26966002620391877,8.383361031066688,1.0727811568058945,0.07051087649405835,1.829559175581114
CYP3A4-sub,0.4740520542289377,0.00695550260683925,5.9429285703303245,0.5278458636992134,0.06611961424920816,0.32764182213696613,0.08313488848600166,2.640086003934507,0.0008409845769969471,1.693444002915983,1.856582857750402,0.09243679352660374,1.9738863940963747,0.058158816591331465,4.745465501539455,4.999741636078526,1.212452135023632,0.9255772849477992,0.45199267821233396,0.18527098546883258,1.4454217480259681
CL,0.08645737745795755,0.6694506938500061,0.9222078700131334,0.4307566320174463,0.30708274387686224,5.720286913935943,2.961253371245372,0.0009940134007238382,6.436978980134795,5.394697137622152,2.938205155742672,0.9395467850604874,0.1847153617751747,0.6344138066001861,4.54904370439925,2.4268359814875633,1.5309370037833714,0.45998773054733033,0.29923024285878563,0.9058068136124106,1.3051410654453341
T12,0.022373540827315207,0.2029718418427456,3.2905698778021706,2.031830643071553,2.670969370310381,2.7954394065810213,0.03258397842900919,0.33923477677630326,0.9670530489202375,0.15323016262347247,8.774735340833178,0.012778609338489184,0.9028675850774786,0.6514042646225436,0.8452836917081071,1.9728816544031142,0.032744733368422166,1.217358434783878,0.11032182776432237,1.01160536383249,0.9621748161326821
hERG,1.8087583909144413,1.2390560934223813,1.8545840056767986,0.04106283373816204,1.1253400059999732,1.830355727808231,0.08442388929740836,0.3814690161892406,0.8686837020523877,0.5206917811748492,0.7406520597044631,3.720534790562472,0.0045633959953619045,0.19761127163509026,1.4370379069438908,2.9030000818234925,0.08847450814840543,0.23067016995355943,2.7993503722013027,0.026491797424619327,0.1883570625850006
H-HT,0.013414119298391739,1.5739193683597594,0.31858235480234315,1.6147937725537602,0.7014727528947098,0.2092125811060758,2.847298295961754,7.357281294067583,0.18634952739855035,1.7483885895237659,2.6579045310217637,0.17008514514180892,3.346857771248558,4.598733179864102,1.0247112769297646,0.057909371206536275,0.09305839057944344,0.11715684878247407,7.248836520402814,0.043502541838228784,6.24976377343895
DILI,0.1043527183019854,0.30469154412245625,0.018968370540273036,1.8543463608983242,2.093499237419157,0.008897966506064994,0.10993702428778128,0.4998253125849195,17.835409876893046,0.07674216915859114,8.036633975288684,0.8007795819767269,1.318152700256876,0.3969068522604899,0.721162752573076,5.041755303505053,0.4795326823638462,0.3717863493745496,2.8509835583732333,2.741867786283258,0.24618992607774362
Ames,0.30129510417499217,0.015857233331194456,3.4680795121877,0.5264702903249778,2.033714981717296,0.0060288740091913335,0.41739811634747115,9.024991181925127,0.552190366403789,1.0590104937701639,0.8543484846614506,0.601284244990352,4.97149287726927,0.8904259259440935,0.04880825136323025,0.6161820793195198,0.5398166723942449,0.4529721636896437,1.9046982134598724,5.934206117441498,0.16544162138213228
ROA,0.3260340329669688,1.2714119846614864,1.0394511513051379,3.910909809797662,1.63313597879053,0.00018968174242999045,0.07723897507609055,1.2761485527958507,1.0440660215559487,2.0444271371515637,0.2132287869167648,0.31488008727258465,1.0348136366106635,0.8321380255993858,0.4930800585937606,0.8653464572634965,8.045569227434909,0.006417964861157475,0.9050554334824099,0.08218916608493568,0.008028287186814538
FDAMDD,0.44023920510854864,1.0006374349229958,0.10790355311805454,4.181076664068542,0.09107127685264553,0.003931510867608792,2.594947329454532,0.6738330947537237,0.46581034908488217,6.955292369503336,0.10560292448015178,0.08241412674886464,0.49955379359183033,0.0004441191635682274,1.3099453847818445,6.698461869660685,3.0021470297709287,0.09760873692048158,1.5331260555277604,0.07685807101433163,2.2633027743823417
SkinSen,2.479834950114788,0.05483515260965166,0.11651733067470536,1.015449586342571,0.09501296328433491,3.7756585831916185,0.7921052385056757,0.0966601030491662,1.0399063662388834,1.3958772670021171,0.793004082986224,7.852133906061892,1.024451993069009,0.32819796985336264,0.6708847874280907,1.2407530341006923,0.18114643546723527,0.5347751854118151,4.016515341592101,0.5125215078629225,0.24023074487825022
Carcinogenicity,2.3671259969472316,1.2399730042027086,0.014100306103527298,0.16511433578654977,0.8946588865860672,0.3972128466365771,0.005649285210888947,1.8912285590162632,2.425655785403238,3.9617146878113783,0.024561428857313192,1.3379269539981002,1.4177601761993603,0.009784230399660641,0.6219686127326854,0.6526710415693491,0.709890398492026,0.5582763918492554,0.233177605088984,5.056011830885061,7.712156586509488
EC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.469447021557646e-61,2.4308653429145085e-61,6.223015277861146e-59,0.0,2.4054882390829767e-48,2.463219956820969e-45,7.006492321624088e-44,1.0331493317774007e-38,1.1754943508222878e-36,7.346839692639295e-38,1.836709923159825e-38,7.523163845262643e-35,0.0
EI,1.5369204349205874,0.1211389489574264,1.5132314529504762,0.023183363910050207,6.855037151731243,0.29304958270308107,1.1004768939221972,0.14007774628470485,0.18959930576875145,0.34104036662286646,0.49260454323645153,0.2588603752035242,0.05940016851135023,1.0112351486395568,0.5119540934376114,0.3377697728878264,0.07447719956873101,0.6239058253359175,2.444290132410691,2.5635055364573316,0.3721695384655002
Respiratory,0.11184184498172922,0.6456022545805531,0.4917103718395161,7.0010521436640385,0.011526172133357764,1.491476216475859,1.2842170816498422,0.007239801719003038,0.7019969766613952,2.498952425487098,0.18519111796906967,0.5903163554983732,0.6298406202495467,0.0076651376507350915,0.02909594530580838,1.3329038198994534,0.13897282738934563,0.5278908602704667,0.19908018843275443,5.616399488663677,4.710795487769535
BCF,0.2301234060145809,0.6911690157705809,4.1587684459593435,1.209891209990015,0.18349182327891034,5.693990848119972,0.2917720945446538,1.5413399586428773,1.455233826445,0.11926073807431237,0.03341266395648349,0.014350901523068406,0.09204433004830785,0.12771762643199822,0.22248693118452775,0.19825629031238948,0.021151918692639448,2.0651487813363336,2.2162785491891905,1.434623840617429,0.27068787560546537
