,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
H-HT,-0.011581933905178237,-0.12545594319759268,-0.05644310009224713,0.12707453610199645,-0.0837539702279665,0.04573976181683456,-0.16873939362110302,0.2712430882818506,0.0431682206488234,0.13222664593506733,0.16303081092302038,-0.04124138032871946,0.18294419289085284,-0.21444657096498648,-0.10122802363623247,0.024064366022510608,0.03050547337437061,-0.034228182654425884,0.26923663421612615,0.020857262964787293,-0.24999527542413585
DILI,0.0323036713551239,-0.05519887173869194,-0.013772570762306148,-0.13617438675824187,0.14468929599037925,-0.00943290332085779,-0.03315675259849512,-0.07069832477399442,0.422319900986125,0.027702377002450734,0.2834895760921145,0.08948628844558962,0.11481083138175055,0.06300054382785038,0.084921301954991,-0.22453853351941744,-0.06924829834471358,0.060974285512382154,0.16884855813341232,0.16558586250894902,0.04961752977302919
Ames,-0.054890354724212866,-0.012592550707142085,0.18622780437377487,-0.07255827246599644,0.14260837919692154,-0.00776458241581048,-0.06460635544181943,0.3004162309517434,0.07430951260799581,-0.10290823551932878,0.09243097341591995,-0.07754252027051686,-0.22296844793085116,-0.09436238265029624,0.022092589563749702,-0.0784972661510909,-0.07347221736100285,-0.06730320673561133,0.1380108044125485,0.2436022601997259,0.04067451553271807
ROA,0.05709938992379589,-0.112756905981917,0.1019534771994137,0.19776020352431026,-0.12779420874165348,-0.001377249949827519,-0.027791900812303313,0.11296674523043718,-0.10217954891053045,0.14298346537804865,0.04617670266668731,0.05611417710994117,0.10172579007364177,-0.09122159972283896,-0.07021965954017154,0.0930239999819131,-0.28364712632838196,-0.008011220169960052,0.09513440142673993,-0.028668652930498084,-0.008960070974503798
FDAMDD,0.06635052412065394,-0.10003186666872693,0.0328486762470049,0.20447681198777876,-0.030178017968820543,0.00627017612799576,0.16108840211059677,-0.08208733731543029,0.0682503002985981,0.26372888293668817,-0.03249660358870627,0.028707860726439476,0.07067911951855585,-0.002107413494234644,0.11445284552084513,0.258813868825855,0.17326704908236096,-0.031242396982383028,0.12381946759406454,0.027723288227468904,0.1504427723216487
SkinSen,0.15747491705394814,0.023416906843059287,0.03413463500239972,0.10076951852333972,-0.030824172865518213,-0.1943105396830449,-0.08900029429758509,-0.031090207951888348,0.10197579939568423,-0.118147249946925,-0.0890507766943233,0.2802165931214975,-0.10121521590497196,0.05728856516385818,-0.08190755688140688,-0.11138909435401173,0.042561301139325526,-0.07312832456796854,0.2004124582353128,0.07159060747492804,-0.04901333949837028
Carcinogenicity,0.15385467158806806,0.11135407510292154,-0.011874470979175149,0.04063426334837999,-0.09458640951987063,-0.0630248242073373,0.007516172703503391,-0.13752194584924482,0.15574516960096185,-0.19904056591085592,-0.015672086286552016,0.11566879242034558,0.11906973486992234,-0.009891526878930591,0.07886498670086017,-0.08078805862064946,0.084254993827786,-0.07471789557055629,0.048288467058810625,0.2248557722382296,0.27770769860609723
EC,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-7.395570986446986e-32,-4.930380657631324e-32,-7.888609052210118e-31,-0.0,-1.550963648536927e-25,-4.963083675318166e-24,2.6469779601696886e-23,1.0164395367051604e-20,-1.0842021724855044e-19,-2.710505431213761e-20,1.3552527156068805e-20,-8.673617379884035e-19,-0.0
EI,0.12397259515395267,0.03480502103970438,0.12301347295928501,0.015226084168311366,0.2618212587192118,0.05413405422680634,0.10490361737910649,-0.037426961710070025,-0.043543002396338196,0.0583986615105917,-0.07018579224005747,-0.050878323007300864,-0.024372149784405606,0.1005601883768898,-0.0715509673895197,0.058117963908573614,0.027290511092453177,0.07898770950824677,-0.15634225700080864,0.16010951053754835,0.06100569960794651
Respiratory,0.033442763788558066,-0.08034937800509431,0.07012206299300638,0.26459501400563157,-0.010736001179842412,0.12212600937048006,-0.11332330217787699,0.008508702438681844,0.08378525984094069,0.158080752322574,-0.04303383761286803,0.07683204770786556,-0.0793624987163047,-0.008755077184545598,-0.017057533615915395,0.11545145386262808,-0.03727905945559056,0.07265609817974447,-0.04461840297822798,-0.23698944045386652,0.21704367043914316
BCF,-0.04797117947419894,-0.08313657533063178,0.2039305873565645,0.10999505488839098,-0.04283594556898568,-0.2386208467028807,0.05401593232969822,-0.12415071319339557,0.12063307284675291,-0.03453414803847235,0.018279131258482573,-0.011979524833259623,-0.030338808488190143,0.035737602945916526,-0.04716852034827122,0.04452598009167115,-0.014543699217406636,-0.14370625530352998,-0.14887170816475473,-0.11977578388879065,0.0520276729832755
IGC50,0.14325877063222064,-0.08693406724539776,0.11104058614721392,0.12602357372230427,-0.0214610080720599,0.001588715028912557,0.18430267363123556,-0.0013343798245404397,0.0073600797353530496,-0.04124832271220728,0.23514784718018028,0.007746377919528288,0.04562732273803594,-0.05613592087598741,-0.13424190037204525,-0.0714731939060921,-0.022104101613987424,0.022997596617683334,-0.12218801800588024,0.06431290516082508,-0.0389190033585527
LC50,-0.055508451136351,-0.11572386242300577,0.21770255335523098,0.0767138731393287,0.05753721367247816,-0.17244354501731884,-0.03109391221065115,0.06649234378800427,0.06873626909952825,-0.09566714134631897,0.14881364406338435,-0.07367510021790971,-0.013477010949095897,0.02319153740336006,-0.001459334567057373,0.04574834660640393,-0.038570889543562616,0.015814802135951184,-0.07615951505535463,0.17011100146342797,0.07475721986584269
LC50DM,-0.06799920130957508,-0.06855728594458724,0.1438736133553898,0.13559316357713155,0.07380388879437194,-0.18027582616990465,0.15126674024020575,0.11019907389574192,-0.0880456216435388,0.10245283801086684,0.09691726105438186,-0.06474750837746363,0.07014190061701199,0.19642042437451657,0.03898332984439223,-0.2240695301833299,0.07706539285231309,0.04647829809439725,-0.02166394068047911,-0.2754574214837009,0.06532795031633426
NR-AR,0.16696774228597416,-0.00017682601979784684,-0.0727738060028558,0.014879347636198274,0.18206557356169184,-0.13976575547164835,-0.022628462145572636,-0.0595413509010737,0.03154314277450926,0.07858134758228748,-0.008300114322260273,-0.09637291038479234,0.07939976230344906,-0.11296517478029505,-0.11448454757388384,-0.057391833491573487,-0.21381123727503765,-0.11206970319393622,0.14433427622293735,-0.07937942028963013,-0.018409879108123143
NR-AR-LBD,0.12975756202666505,-0.11676792043956843,-0.005886527067629277,-0.122819295372073,0.08281334636580422,-0.042867989163776724,-0.17550400787030304,0.15528042325237687,0.07553234084220567,0.050590451067593044,0.018515831632714704,-0.06552896028720459,0.14935560506387086,0.13776169972140068,0.17585917134854978,0.11963701896028692,0.19187903786637858,-0.0686359927848818,0.05498927182135297,-0.07843498326547314,-0.0159104628224654
NR-AhR,0.1559549399690569,-0.059335527960153976,0.08810823989208653,-0.021609212804738737,-0.12647678593983772,-0.16357516228009578,0.03839573012756405,-0.03062466891986711,-0.08740639157607502,0.11416028274353754,0.15279641595551957,0.19356417280850272,-0.2449781758612132,0.0958679019344274,0.09705714794779005,-0.0006845603304251045,0.06820726555553884,-0.0885488023654292,0.11656843440698056,-0.07992746904585339,-0.12875944247479326
NR-Aromatase,0.11424758351972578,-0.1121267901860464,0.05034949117937872,0.009118928881223082,-0.12008475507886537,0.15189882361882512,0.15694296002571229,-0.1654713351151696,0.1802074921808849,-0.01624767645173919,-0.09555991867193779,-0.15560077948146858,-0.11504344486925877,0.10323088523160465,-0.055585732356387745,0.10505619006085679,-0.07108002517582093,0.012875383815081722,0.09997033372024666,0.025920644476031734,0.0857427780065047
NR-ER,0.15756716705015564,-0.019258136059274684,0.01529030943050104,-0.1861551764102316,0.024171825460188912,-0.10485320686033464,0.009668782795240853,0.16233687402237995,-0.05091555033519414,-0.14770541337483406,0.021045569801847495,-0.1163613701124365,-0.043490217935592705,0.20042114599158795,0.07456712236982818,-0.04397851048373198,-0.042816445865786354,0.09875538430549252,-0.028328033879102384,-0.10154580514918017,0.12514810819533637
NR-ER-LBD,0.16798584789566634,0.13572743861853967,-0.02812656753614209,-0.021718011206014968,-0.06897449775699609,0.07368145634990175,0.009061783637829841,0.1979920857135318,-0.04945798357622304,-0.09195986748588514,0.041977713118436004,0.04119070104075808,0.009030503831985648,0.07971147242950996,-0.03944889413526007,-0.058334847540452164,-0.11610473504075029,-0.027823456251409993,0.015289231050729728,-0.07938340030957591,0.058409536383164824
NR-PPAR-gamma,0.0213005895184641,-0.10201964021331535,0.12586933887399246,-0.0432919122587659,-0.18566344278004146,0.2812939836780011,0.013729657426439773,0.07691406015050929,0.15290841018625698,-0.01146580901155889,-0.1245946154359094,0.05922512802803356,0.10540977499910235,0.16291696005326317,-0.14453802284166117,-0.11507791415919598,-0.03937099205766475,-0.041912892404756485,-0.10458858163397661,-0.08797254854774238,0.022708032324837188
SR-ARE,0.14767915631370132,0.06103968447930926,0.03296319305158937,-0.12298954644758331,-0.1170693181042941,0.08422607925213105,0.04676434862620197,0.2920675624109995,0.016314331100860145,-0.08121188759786567,-0.08536026382002482,-0.03142634051261335,0.011251795039613422,0.18127363590599263,0.01765932876383279,0.052694090533903275,0.03484163842430527,0.08434699863276851,0.14424324271364264,-0.041257894350718055,0.24479680099483125
SR-ATAD5,0.172565654201487,-0.08098853360206111,-0.04345552285212586,-0.012101736648395247,0.05847569410475278,0.06198009325720797,-0.2009630410012911,0.17536564809709862,0.00013181927840713774,0.029211557576272706,0.035353420003454795,-0.08763698724514105,0.04545784110391067,0.028943392503753367,0.04921124497302138,0.07237347249255399,0.2681781565052467,-0.10364160202101917,-0.040672532643417074,0.03521589094981424,-0.1226786625357196
SR-HSE,-0.013739348233326884,0.04173668824210819,0.1926988449486461,0.16861657415378908,-0.0716178424378924,0.1288541258380531,-0.029044907126376213,0.18776855704179302,0.05570333734580162,-0.014965226844198286,-0.11433819482275928,0.2729516239819848,-0.05180896836332509,-0.05634904830225415,-0.08833226919089728,0.06352011042766699,0.08866823074272995,-0.060749281209099344,-0.08037720416190984,0.3043932681524267,-0.0037450089539188235
SR-MMP,0.14315600444949048,-0.11002343171648514,-0.027345995226567783,0.08494637807028377,0.0165029689816379,0.23070604064658098,0.05562294985021131,-0.0255373595327924,0.08795491901507717,-0.06914839797376197,0.1716699711081767,0.026859541414657503,0.011700553609861584,-0.056645926131405164,-0.1391417058867154,-0.208304404337472,-0.06779778712001806,0.014025898982971553,-0.06934889243277902,-0.12647305627377015,-0.08436296049042157
SR-p53,0.033083289880644684,0.013992729259745302,0.21350129339097887,0.09426774287140409,-0.025650262820438873,0.004941920747454955,-0.17003843123577161,0.23468489713557927,0.1505197535847446,-0.048241677851224844,0.003238657259262423,0.1694741173551157,0.05436078919350904,0.011747285109805727,-0.09530732531315152,0.027057887275589,0.2545623423690209,0.1610045764707604,-0.1833360016388136,-0.26157872040171476,-0.08431396819343012
MW,0.005752393400776447,0.21083359375914276,0.13352014734633677,-0.11325242615483062,0.02481775717439309,-0.05362170285706755,0.02166702903079822,0.016615721310151516,-0.021776866252865745,0.16384154058656125,0.026035622237662256,-0.014551557091250833,0.037831476744375536,-0.016574877280893404,-0.061761256555268325,-0.056418095951107056,0.026408283039271823,-0.05197094479162124,-0.012120390725344378,-0.001091817920114082,-0.054814705387601755
