Num Aliphatic Carbocycles,Num Heteroatoms,Num Hydrogen Bond Acceptor,Num Aromatic Carbocycles,LogP,Num Rotatable Bonds,Num Aromatic Heterocycles,Num Lipinski HB Donor,Num Atoms,Num Lipinski HB Acceptor,Num Rings,Num Hydrogen bond Donor,Num Aliphatic Rings,Num Aliphatic Heterocycles,Num Heterocycles,Mol Wt,Labute ASA,Num Aromatic Rings,Topological Polar SA,SMILES
0,13,10,0,-0.539,7,1,4,28,11,3,3,2,2,3,427.062,167.097,1,156.44,CO/N=C(/c1csc(n1)N)\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)COC
0,13,8,1,-1.355,8,0,7,34,12,3,6,2,2,2,493.163,199.162,1,191.16,CNC(=O)C[C@H](C(=O)N[C@H](c1ccc(cc1)O)C(=O)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C)N
0,15,11,1,-0.71,10,1,5,35,13,4,4,2,2,3,519.099,206.645,2,193.63,NCc1ccccc1CC(=O)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)CSc1nnnn1CC(=O)O
0,15,10,0,1.846,7,2,2,33,10,4,2,2,2,4,546.961,208.882,2,134.49,Cc1nnc(s1)SCC1=C(C(=O)O)N2[C@H](SC1)[C@@H](C2=O)NC(=O)Cn1cc(Cl)c(=O)c(c1)Cl
0,16,13,0,-2.49,7,3,3,35,14,5,2,2,2,5,515.079,204.773,3,184.11,CO/N=C(/c1nsc(n1)N)\C(=O)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)[O-])C[n+]1ccn2c1cccn2
0,11,6,1,3.202,4,1,2,30,8,4,2,2,2,3,469.027,185.41,2,112.74,OC(=O)[C@@H]1N2C(=O)[C@H]([C@H]2SC1(C)C)NC(=O)c1c(C)onc1c1c(Cl)cccc1Cl
0,10,8,1,1.323,6,0,3,32,9,3,2,2,2,2,463.178,190.905,1,128.03,O=C([C@@H](c1ccccc1)N)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)OCOC(=O)C(C)(C)C)(C)C
0,10,7,0,-1.523,3,1,1,20,9,3,1,2,2,3,300.053,113.637,1,122.46,OC(=O)[C@@H]1N2C(=O)C[C@H]2S(=O)(=O)[C@@]1(C)Cn1ccnn1
0,17,14,0,-0.87,8,2,4,33,14,4,3,2,2,4,511.051,198.147,2,190.81,CO/N=C(\C(=O)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)CSc1nnnn1C)/c1csc(n1)N
0,15,11,0,-1.299,9,2,4,37,13,4,3,2,2,4,546.099,218.156,2,191.22,O=C1[C@@H](NC(=O)/C(=N\OC(C(=O)O)(C)C)/c2csc(n2)N)[C@@H]2N1C(=C(CS2)C[n+]1ccccc1)C(=O)[O-]
0,8,5,1,0.445,4,0,4,24,7,3,3,2,2,2,347.094,142.431,1,112.73,N[C@H](c1ccccc1)C(=O)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)C
0,10,7,0,0.592,6,1,2,26,8,3,2,2,2,3,396.045,156.736,1,113.01,CC(=O)OCC1=C(C(=O)O)N2[C@H](SC1)[C@@H](C2=O)NC(=O)Cc1cccs1
0,12,8,0,0.099,7,1,4,28,10,3,3,2,2,3,427.051,167.19,1,148.26,CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2[C@@H]1SCC(=C2C(=O)O)COC(=O)N
0,8,5,1,1.476,6,0,2,26,7,3,2,2,2,2,378.125,155.624,1,95.94,CCC(C(=O)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C)Oc1ccccc1
0,9,6,1,0.15,4,0,5,25,8,3,4,2,2,2,363.089,147.225,1,132.96,O=C([C@@H](c1ccc(cc1)O)N)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)C
0,10,6,1,2.549,4,1,2,29,8,4,2,2,2,3,435.066,175.106,2,112.74,OC(=O)[C@@H]1N2C(=O)[C@H]([C@H]2SC1(C)C)NC(=O)c1c(C)onc1c1ccccc1Cl
0,16,13,0,-0.653,10,2,4,34,13,4,3,2,2,4,525.104,206.674,2,172.46,CN(CCn1nnnc1SCC1=C(C(=O)O)N2[C@H](SC1)[C@@H](C2=O)NC(=O)Cc1csc(n1)N)C
0,13,9,0,0.353,7,1,6,30,11,3,4,2,2,3,453.078,178.676,1,177.94,CC/C=C(/c1csc(n1)N)\C(=O)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)COC(=O)N
0,8,4,1,0.711,4,0,4,24,7,3,3,2,2,2,349.083,142.611,1,112.73,N[C@H](c1ccccc1)C(=O)N[C@H]1[C@H]2CCC(=C(N2C1=O)C(=O)O)Cl
0,13,7,1,-0.24,6,0,3,36,12,4,3,3,3,3,517.163,210.884,1,156.43,CCN1CCN(C(=O)C1=O)C(=O)N[C@@H](C(=O)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C)c1ccccc1
0,11,7,0,0.522,6,1,3,27,9,3,3,2,2,3,414.056,162.22,1,133.24,CO[C@@]1(NC(=O)C(c2cscc2)C(=O)O)C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C
