,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59
LC50,3.6693640822725255,0.10358544156871714,0.5236021516400119,0.16966095400703532,0.9894785255330697,0.2854645322553595,1.4858593074065551,1.5899833597952933,0.13038194071832052,1.6166876400943786,1.0868897884814182,1.6920082340859277,0.46717151709355215,0.23534640147738528,0.06393361160689937,0.9210187064320237,0.9105009345162861,0.010571295740123018,0.23696298299526927,0.2421755079941894,0.2976265052220543,0.5834022283855141,0.19833990283259806,0.010945624819003748,0.6713349320638989,0.009535450793556981,0.6212615080875948,0.09446113764628052,0.6484107931210237,1.2848967379480476,1.348896497865242,0.5885305536869622,0.7003836074672618,0.009321261575228614,5.413950912809665e-05,0.7091789002976321,0.0001229371963148221,0.018489304647709735,7.893448093529488e-07,0.8032676348787768,0.750037893264851,0.16201634655930414,0.14668854240936893,0.1484128868810073,0.018261476749714393,2.8537236752392348,0.20412070402805738,0.23193824024878648,0.10680581547389954,0.0015693952029003206,0.4153129998755895,0.29915585576685766,0.00138849822733644,0.20666967929389807,2.56990521980816e-06,0.0011824841691539442,2.8329893257679433,0.07963506475514623,0.2509686043104134
LC50DM,2.895956878191922,0.30820478065502466,0.5395622290960385,1.0236454548609366,0.2104573092951557,0.5981542483658605,0.6929433961138537,0.7175038938223064,0.2610864998968818,0.120974131375081,1.2039392789788808,2.932785884958338,0.3413020713572454,0.21787185051392288,0.1905217279198885,0.31491049730415666,6.831161836918397e-06,0.7502553324603688,1.3606467452185007,0.8400543739060259,1.1472579228664257,1.0304373373562623,0.12615961851466312,0.029738791728003398,0.06792591980170098,0.02496367619476199,2.3471876588354643,0.5503491401118221,2.2607738042267056,2.500468589609418,0.28296166000863915,0.5068772430748782,1.4363769712108223,2.5179089321238703,0.049321501275290544,0.02061248689315295,0.294408566133302,0.40620257682155747,0.8367051535548975,0.0113245357391573,0.6673663735266085,0.07845229477649986,0.1376368613430133,1.115953142606554,2.5910527383254083,5.590091733138392,0.715298276462357,1.0239026563199427,0.032013793542229906,3.1321536172819324,0.19903312357141847,1.1666117054683118,0.7054524304651673,0.013265068967691963,0.4315024028967645,0.562586081715413,0.45643213065227606,0.06962301492078667,0.07973516157520422
NR-AR,0.3490950632788188,0.20223194154440358,2.9858810213804587,2.264181834871246,0.033475585041020946,2.7505545820796216,0.5764277535619419,0.027929342259196906,6.058639675605832,0.2890481078314152,4.425665171881704,0.6021431859277854,0.3028678605004245,0.015891557207352625,1.3851756089155822,0.12962514705314945,0.0038463620354470206,0.3552608683800192,0.024876498723567217,0.8813258789583068,3.172719593964094,0.010652489064367155,0.7970827935319761,0.06299131051021126,0.37749082286942914,0.0005898400152873163,0.19272244313708692,2.4073362287372264,0.17767783759539627,0.21651519356248963,1.085195529954668,5.235957514757482,0.1099880592574351,13.240502880851624,0.3401544133782663,0.4028562939861198,1.644065051196795,1.5453338259167049,0.11453176132141896,0.9338169531766736,0.0028043457945633892,2.7605014274266333,0.32258227137831147,0.18413360753361488,0.3538591475450466,0.13910873282334263,4.527113939883909,0.23654746333992244,5.666938293920552,0.11361360653953471,0.013383698304819693,0.9705897483796072,0.2968835240504182,0.2485962809155164,2.236165966531586,0.026101615560443422,0.14503444954986788,2.7507016432421567,5.715270679085948
NR-AR-LBD,0.776458976416111,0.5184325196065468,2.469178375297748,7.47812077399399,0.23627180699704753,0.48398767906456835,0.09766706746737856,0.0021187030622758455,0.8851746679012731,0.1886907293367069,1.0725295990512045,0.27789651511021535,0.03329864720343283,0.042690717502276994,0.5710699381517298,0.5015040210991351,0.0867679085076023,1.0474788867270877,0.5318217935984701,0.19342179174056448,0.16515543796067936,0.14876641836346818,2.00421666924359,0.0015092422998090004,0.03625948345442888,0.011389850713493977,0.010506539391207041,1.2849664581157103,0.005816393478728442,0.009143514554794018,0.14814790291741037,0.8562730162803468,0.09608634757658155,0.07864589512270331,1.3773760450241943,0.05319849955581784,1.6763091457148986,0.3670316569724002,1.0242469952773576,0.010284270183332198,1.222643992932287,0.6764039809198328,0.0328923633031292,0.09382000180925869,0.056025878484934254,0.0030136865782354545,0.7062013540465022,0.7989078026919441,0.15667160668368438,0.0013262045317063086,0.016489772147474026,0.43300819380526445,0.32210791499944025,0.6325693342812089,2.387527255491675,2.7787469605211297,1.6600373676755924,0.0555017596363653,0.6905520486731882
NR-AhR,1.1557640909954967,0.01780536684474413,4.241597078664704,0.014187862078484534,0.8847198941629555,3.14952614857841,1.3678022753402095,0.5813329677971686,0.004720818614571149,0.003094455229765522,0.4582666644087569,0.3286185420022317,0.07843557623609793,0.0903771968091919,0.05312228089103584,0.6577196816335716,2.63485207588562,0.18475822732984107,0.002098052381916825,0.25883551868315635,0.04111524437567003,0.7272953823197558,0.17134098244652063,6.31967539643125,0.17886098808967937,2.5922121642869462,7.205883001934671,0.061427176487043274,0.29076623627582243,0.9829587657624504,0.006493608923668932,0.527815430127266,0.11454895674607873,0.07989528725901983,3.6782193935997345,1.7585055030499057,0.000759321186274824,4.4781918224153205,0.6896110897362415,2.966435975833796,0.033720510665652,2.0982892325692584,0.5251115351027522,0.24667988403355218,0.14235846343127384,0.08371792181455971,0.002728973028909,3.867379215863323,6.319766723594611,0.28443469758266865,0.2162147312223481,0.07610566727536097,0.6966406099154254,1.8093572455274072,0.89151744974888,7.346647458898096,5.183557709877999,2.346939851419795,1.2535759346506232
NR-Aromatase,2.319711299347537,0.0993854749703585,0.11754237612313599,1.9061939420832748,0.1369399218309774,0.2923454000247327,1.0062764408700255,1.8016362553284533,0.9349497590103388,0.10493469387252298,0.022173763563000777,0.015774910904464222,1.826914818296151,1.1183364198050938,0.4012552592226055,0.5883247684905979,0.7227378479016828,0.06326261248082873,0.7257611465099209,1.0876991444136765,1.4590776543813249,0.2784381725313062,0.050501618706505554,0.10248411535073382,0.8347537211641087,1.1696460086857356,1.4704357199800444,0.7944235145424897,0.5137125723329823,1.0521143887623834,0.22377640024539824,0.5471206835334348,8.130799034537242,1.0860136917252074e-06,0.02830069945677099,0.6551063229494053,5.751710185841226,0.15864267209037805,3.692318633087251,0.5988065645548323,0.7645293845147499,10.664968931384138,0.011077592178910163,5.25602964138823,3.856379988219247,2.3208664302984663,3.236622077949485,0.030688046701211873,0.5253012376057613,2.463877071697413,0.31122617602660335,0.41949086453939904,2.6066861421321357,4.607023028420163,2.261725632022494,1.6748618316833487e-05,0.4084116567554146,0.5234581603407856,3.998196509679279
NR-ER,0.9960553031081235,0.41749886109621986,0.4275620938856613,4.054205570107813,0.41618541214918753,0.6974669378857616,0.48695851570236287,0.05863121961047781,1.7187867144195241,0.05755647566115341,6.354668867908118,2.2659736392877856,0.6981392242807776,1.49460437535584,0.04264393374448866,0.0505974355938,3.883096331340542,0.6657484508307543,0.7392563868694955,0.9399866716839759,0.22167026256353298,0.05945796964850611,0.24828410738088152,0.5713704962214008,2.047740820691956,0.3442570401767431,0.6081115474427076,0.8308822025146503,0.7605604839024358,0.04509439641147996,1.1462768424200547,0.09879462928479596,0.3735344519458135,0.4223550457649297,0.0576209989788404,0.2457053439084912,0.024269725872770476,0.1833437494136564,9.88046756988353,0.014914985693264651,0.03289100583276423,0.02451237628202403,3.698020665092173,0.4261482259486829,3.7665874576313874,0.05022304045177107,0.6523561316228235,1.4020658867528937,1.1383809502991575,0.03893668937268222,3.777587181004294,3.350319270808226,2.926744152308259,0.15140185639581435,9.648894612448249,2.5458221675179886,2.1634360630227816,3.3608422068224564,0.7673028023652616
NR-ER-LBD,0.7791409660935977,0.687839514092791,0.0845861214404862,3.94645942830239,1.2644123874690807,0.0014733813738106339,0.7088688706285724,0.2786304764294644,0.12551263266232562,0.37507936051404145,3.1690339778436196,2.406583656053255,0.5884706702957899,2.4683711577042007,0.47604791483175124,2.031040136584893,4.196820652785812,0.6815938953939045,0.045190021868449115,0.6983125129200902,0.0430926765185706,1.235272674024751,0.9146376111666278,0.09261105036623347,0.6313130334532685,0.06362302872914775,0.33185017828232755,2.9769726999027304,0.6445708809893429,3.2567783791131113,1.1767925027753476,1.2746642684283433,0.6065450443875994,1.4542365636535584,1.2204462908974267,2.7274543626267787,9.48021291378194e-05,0.05426392086577132,2.887072504657236,0.005277156196221138,0.1516838099414695,0.90741322359921,4.372376101788796,3.5300500044980914,1.1829110465818427,2.561166860495035,4.654915293281598,0.00210679301280091,0.22956808899066528,7.558963118069154,0.27900100940169437,0.12268088503865372,0.2298028341468466,2.737101851487614,2.6569547178773756,3.16302652181224,1.254009167494835,4.17085621334959,0.25128088748775557
NR-PPAR-gamma,0.6274753581357367,0.2973343510679416,1.7646301662410566,1.1472141865843084,0.6113615788490904,0.267434576980424,0.9678007914894066,0.18320539126154045,0.14044331668002197,0.35231213804686723,3.257521743323272,2.7765016376766405,0.07966826958150892,0.018005236466835273,10.728121727760508,0.4303212385916491,1.1831708568789803,3.474178725000506,0.1610156912386335,0.913223126250059,0.7106892586366101,1.6271918069149616,1.6496165237966314,0.1849705777183442,0.3309294314477095,0.9332414045274866,3.7865503487215713,0.29549465730619745,1.068921465126695,1.5374662741481275,1.0096585158989733,0.4098525430136671,10.803919665488522,4.07513988081968,0.07566151214294785,0.08041868626289667,3.0139933217900984e-05,11.897417840118525,0.5724219057172965,0.43674224043140547,5.7420026620933555,3.547775344978928,2.0713038757256355,0.7073455834448747,0.021925572950288318,0.045867894947427094,0.4270950814409073,0.00961135705037723,1.366860602180184,1.2144635053114292,0.4853139602596701,1.7680038228512405,0.20553297742001947,1.7347199710407453,0.04663735476172318,1.4664805268407755,0.014088906152945644,0.704069293658031,0.5817202794598871
SR-ARE,2.185257119876998,0.6253739001336045,1.3847279443772282,1.4014829825305768,0.004809521231668934,0.26283008259909146,0.7808076454605729,2.675168568482294,0.010131070898790959,0.10647568222587078,0.33323367169590506,0.2974094244858286,0.8621214428468801,0.6877373054286172,0.4903117129930244,1.441634182273693,0.012327518870040893,0.11108002078179088,0.0013710428948007915,0.1841686420523273,0.24333162859872104,0.52636570793449,0.7472821335202198,0.5459493489260792,0.7656004964035278,0.14827892104685447,0.155031789707509,1.8145781283902958,1.0120110342536863,0.04282978649476736,0.8047715968961113,0.36487676827966764,2.554859161482413,0.48825949465025914,0.48016277949647485,0.24103218465115792,0.013456139962936793,0.24372148812665642,0.8063479902168885,0.40535756208760365,0.18004078716933355,3.3199433760186587,0.8415850502579986,5.936434133695798,0.0006937500260259326,1.9205500297601497,5.474133980932862,2.4360951746941915,5.622544887376902,0.10817047896398513,0.14852757443942768,1.2837126377835313,0.853157753614123,2.7825445808791263,1.7619287563702057,5.512534555207051,7.505906603460952,2.078285743616929,0.008795248684656528
SR-ATAD5,0.5779613557722181,0.06831333106655163,1.3172130752706024,1.3220568916559403,0.2325966928115509,2.602938126866265,1.9361466166789711,1.8057723602599138,1.4995616202289654,0.9200430660117541,0.11521608709668658,0.849418751005444,2.2791403113894133,3.2610810016864598,1.7980868013401918,0.20805677817326354,0.9033337239274976,0.25397394313321353,2.6092322924763574,0.0016617872701104224,0.7095502739223933,2.78870999773625,2.118780221444947,4.474076195076657,1.8406305488379964,0.08731196897569198,5.590967360918255,0.77680932340896,2.537704056117817,0.18686693330613086,5.147740179165806,0.07856007771999492,2.645986698743151,0.46992986042674384,12.799792502355176,1.8113647651177547,0.5812465975962995,0.01569593990603594,0.2196048954809899,0.026648761167062274,0.8219310349597565,0.047739517741024286,5.112956318470538,0.18558796408294007,0.013782864085001786,4.501591722408911,0.025582007250740592,1.4435703320013806,0.5124193381420321,0.39216062514051425,0.15746593283961668,0.17392929946920627,3.8357184011706646,4.4898601053972325,2.0060113319336397,0.0012009429648354474,1.0725621520135522,0.1244492861778395,0.11802701407213484
