,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37
NR-Aromatase,-0.11195065299232473,0.0661238371261422,0.05944578090454445,-0.19648006426998454,0.024604607286946127,-0.08898388617828507,-0.004148407476465767,-0.0027668861460700537,-0.010141992111427856,-0.0988193346456179,0.16699803406508285,0.0038542053018699243,0.013722937737020368,-0.19980476201278793,0.14999607399181064,0.18170788426557513,-0.12823643339755963,0.08308366000496534,-0.06863937418745289,0.18061886078984007,0.06427392524021788,0.17942191699953092,-0.1855652654109517,-0.054293550829552985,-0.09563779367822028,-0.016685196430739867,0.05837044209153285,0.14790126809306833,0.10066172977478188,-0.14181998000740098,-0.0006806409340487096,-0.009132919900254971,0.19824052956311486,-0.05634019078345798,-0.02996027380364108,-0.03841344044279334,0.18218146709040248
NR-ER,-0.04735054434549379,0.0649701098557184,-0.1411770468831977,-0.06674896902585482,0.020220637254686508,0.22986338226854763,0.09260544575933248,0.06726311514012755,0.15151424805302102,0.11955948210786524,-0.0006592092032961306,0.04392844058463679,-0.042216079933447996,0.2449366482871415,-0.008588061158317681,0.2545178367056262,0.22834076653158777,-0.005909226468063168,0.05481051217491077,0.08800998820818022,0.13026745840219875,-0.2125708144566961,0.2129289203446646,-0.15190809848653367,-0.148894577923339,0.04113259695110354,0.02706032951144372,0.0545245002587348,-0.1638269911349753,0.026055248398026712,0.081073318095412,0.1334133168739136,-0.14029206924484525,-0.06707145822336003,0.09049755088254127,0.0017656733224934093,0.1935456294625053
NR-ER-LBD,-0.010224251400719985,0.05895396356638754,0.01872083703028213,-0.26239401072687657,0.06600987562369473,0.09667805320372379,0.004253649887524153,0.13837116294498067,-0.03513645948999039,0.09136943817398455,-0.061333163250951915,0.03635885712871788,-0.09872910230316766,0.1483596111864904,0.1278306874558096,0.12695785849346242,-0.10735118202221158,-0.08342850535540625,-0.17324971176712625,0.23959350810903746,-0.21476356852594636,-0.17503271330929912,-0.03348338135121334,0.05815282898920167,-0.07270091994233074,0.2461361745952326,0.3288547666693581,0.06294625543160835,-0.00724127801571664,-0.2288615300007411,-0.08067825144762088,-0.08355776021240252,-0.03354585391398229,-0.10915367008189385,-0.04877554325790083,0.0755507134450843,-0.040653227067322245
NR-PPAR-gamma,0.03472752840357601,0.19298155321322472,-0.14858585199679888,-0.0667273271627116,0.017757542436577255,-0.06974123929204706,0.05038976703404286,-0.055927332727431035,-0.05894638425708122,0.087648175388847,0.08997894496362692,0.15899909246109886,-0.12199918188701916,-0.003138538290470663,-0.06053606013316252,0.048533661066209384,0.07395384540304226,0.07109278257002725,-0.03544750543705832,0.09066968599297058,0.07403211678823426,0.12061609705188212,-0.2013712959216068,0.004340449473367473,0.03641057041840304,0.18201442285221037,0.03342627479652941,0.02044431489602215,-0.11810645873227338,0.11358883041725248,0.12020608445706858,-0.05024689025575496,-0.02660443689021946,0.17532656835312044,-0.1330562835199061,-0.14440874268631998,-0.11003462123279927
SR-ARE,0.054913916831482994,0.2027422813853114,-0.12492329298569992,-0.10821442150418627,0.0669565989059245,-0.016956538578122404,-0.03156349610495461,-0.025872861111744822,-0.11005873590241634,0.01361249567945546,0.029918395076377505,0.19019317345668035,-0.044100529453482036,0.011713427518388934,-0.035897642266189723,0.062059254376782516,-0.0017090664880512769,0.03015095439319209,-0.052785240802716044,-0.08036958405267747,0.10815974637810225,0.17815506042074042,-0.0030669295316323314,-0.16764454108489732,-0.00757509262734668,-0.0763540408058908,0.04030009085299708,-0.04560199214260344,-0.009280785781250701,0.08840176813627783,-0.010943715418925887,-0.007973411510718481,0.17667186674368573,-0.07403938465144445,0.016935557611678156,0.02315640022402294,-0.05173879528643811
SR-ATAD5,-0.04306526991557395,0.14770321212729054,-0.06377404613354543,0.015452525766036418,0.25792287121415847,-0.10838884685067146,-0.012255851229188807,-0.1127213008882602,-0.0940602497160226,-0.07599833060359981,-0.012966501516805718,0.09798214214435917,-0.04631015469562551,-0.04881240338246427,0.03137792579579193,-0.1143307228235457,0.1697368842174131,0.0144400078443991,-0.13411984894684054,0.05275945554386634,-0.07107920712264335,-0.16063467689084648,0.008121285053210756,0.026612450765848922,-0.2435670684122873,-0.06631634993267747,0.06512189789294123,0.08091386417364474,0.031382574029113354,0.1245581468039674,0.3746044464376183,0.03157187301040422,-0.08229132931187008,-0.03861502208172503,0.024959879618308797,0.31272985308305057,-0.046767528895389265
SR-HSE,0.005908210392483747,0.1808033492098884,-0.01915154909742125,-0.06065403253560819,0.24189908792997122,-0.13288285240947825,-0.08712960224602347,0.14027223343603762,0.032284497548497645,-0.07331225561734378,-0.0053472705861425055,0.12399972655456531,-0.04211749310682247,-0.07561301896947364,0.012007295853357117,-0.00015044601205442602,-0.023869751491064142,0.023521367745574746,0.009401229894985534,0.033544165009469065,-0.053867102142715964,-0.23397097625263244,-0.13258816643345855,0.09417079422714196,0.1533847881564434,0.14765385043838675,0.04909990749969893,0.04385298840113054,0.04849106601653794,-0.08869941349549115,-0.07824465546533511,-0.006695195580620525,-0.09365113396899215,0.023618194737120533,0.09670018558314034,0.0837350892266138,0.013438195069756076
SR-MMP,0.034991209705703304,0.21703948623896507,-0.1370573132944432,-0.05395098916228752,0.08463204000121177,-0.05834059937182361,-0.06923428144215713,0.05190072952897211,-0.055939693124723466,-0.07131306903408799,0.11422874919487655,0.06771444836686696,-0.04812214282792667,-0.03379260427839961,-0.03498191651899791,0.06734032499477914,-0.13269274426672628,0.08042851975479025,0.04019429480582876,-0.07100097492001636,-0.06271688543647784,0.09507266585903437,0.07705016159273269,0.023743181019150197,0.10636115716198273,0.006060422899015615,-0.08521811721119038,-0.007716417458573723,-0.07649329378615144,0.0306282419754948,-0.027016307934117717,0.028384645653971263,-0.08306707523154327,-0.049742898480436316,-0.06496922397551921,-0.09352064057657779,-0.15930140612809282
SR-p53,-0.021041409286968352,0.16169682282223935,-0.0700605429616106,-0.07838108208429281,0.19182402178848498,-0.20086419114052032,-0.12613462413457902,0.06666882805059204,0.028482481853133287,-0.09921363531374879,0.011909965700778328,0.15680983471840002,0.007978618393611565,-0.12395516120586275,-0.03523417308370235,0.016234687913802573,0.03845161362654232,-0.025954671888145507,-0.02637438959264523,0.07306911968928735,0.13539556810089537,0.0027121279410928303,-0.1508428938724576,-0.0035530780035297783,0.05322969926907348,-0.09600097284869372,0.01282346001524208,0.15610547742700853,0.029599731875730482,0.1539203766338113,-0.14686884752291,0.21560186638759007,-0.15903208929566165,-0.056617257711159,0.09226268844298224,-0.09999773074733825,0.20450826798956895
MW,0.21376266905795205,-0.07934352692431464,-0.033814310161947414,-0.07198135750793049,0.0030089425289760866,0.006237118210556349,0.02460380515011718,-0.03893614061632683,0.02073692670383133,-0.023627635423876827,-0.01035854270946659,-0.014151601558593477,0.005455225333965035,-0.009961876368615286,0.05705183873217345,-0.01474420185429857,0.022460918059306237,0.03909617423866758,-0.07852054157598329,0.007285222212897282,0.017716909130621593,-0.010733898743114739,-0.033364982319062264,0.007986667768783616,-0.024636068491069262,0.021553767032321647,0.005376168279281321,-0.038119165719183806,0.013875991265784537,-0.045014130908533914,0.003724543735904331,0.05499458941930044,-0.02338084187618901,-0.006891564375370335,-0.0420591174759474,0.06025709596337275,0.002219342900834649
