,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37
BBB,1.698990699782542,1.8170711264775683,1.415646973395661,0.011030586159196717,1.1362128404007465,0.4647647046118131,0.5426171962210552,0.4533902465114813,0.537409208001767,0.35386478024394624,2.746853298809748,0.06232503034439334,0.4579159745431503,2.3424421434074714,1.273661800654264,1.0288496036027062,0.29062440674723566,0.12068785599971685,0.428833700341607,0.18185418628750308,1.0033871149127662,0.0005909806390915689,1.3480062933361152,0.2612883529520649,0.3513693546337278,0.014630051722285816,2.0920695487852696,0.3009897347745248,0.08657683273159142,0.02887000723702896,1.7056153393791413,2.048595105610755,0.26165611559037666,0.6462336742093748,1.6892877533503714,0.48303068208481015,2.264759693593026
PPB,1.068034377117133,2.8580540930581546,0.005006499342364697,0.03221068203768599,1.5375202710049405,2.944251842924679,0.0017833900065136357,0.6527853474415518,0.044546378721457176,1.4721501068329914,0.6647436779340252,0.26892079304446076,1.255787335978614,0.00939488313016789,0.004339609455467061,4.398057346317677,1.0011857385674432,0.4376675061135342,0.15119822309389777,0.9693413292837341,1.4007919480315145,0.3515889902600546,1.279496671154311,0.24969793175596422,1.006024863928137,0.20511221044103306,0.5463645741483021,2.1061559223892847,2.358838877135917,0.006271565221992865,0.6551699409635857,0.8028102109942297,0.4559066677188827,2.2454129210182203,0.8299730981503085,0.12023795260906013,0.6308109346107837
VDss,0.5209351049042521,3.410852946165102,1.735958197306451,0.9594929000085689,2.2079204966642854,0.09994768582352628,0.5318616246778908,0.22907716056753835,0.7479396586818916,0.0493598626520911,0.03287526427386961,0.4814113634993227,0.40966258091256663,0.15445064118562074,0.07273180461521186,0.8673943167639009,0.009071989470207922,0.3481030575777121,0.1828322661781713,0.0027828053217556904,0.949605040096101,0.8759199804101284,0.6738613125000036,0.11012102460421638,0.6274153719165734,0.43137605461189243,3.565699919660173,4.652289995800089e-06,3.9880160935720927,0.6969522604999003,0.011231054458296892,0.5948129224501453,0.2564650200826427,1.5054798941110645,2.73098892557373,4.029497199660641,2.4114774822928884
Fu,0.5801891665425635,2.9738367287712646,0.008183259811080437,0.04078420928987644,3.953244099325755,3.0562435799016874,0.0709714387300932,0.45181026658217366,0.8706887989736,0.03443505452493626,0.6380802478604174,0.4745329336665517,0.7362593942438364,0.8958708320414468,0.14611023458985367,3.9649171076460923,1.9343355133923328,0.09336146211404893,0.4016315740849869,1.4178586083453122,0.7479450477392375,0.004157105709653375,0.18033174248331124,0.05710894274943512,1.7454616761431678,0.00759214082392924,1.6908509830361507,2.116425971104898,0.9351702613211424,0.7075484982370057,2.1666442156013153,0.21523758225058454,0.37794802312327735,2.9251199018228373,0.8550271099815204,0.0040196493677748385,0.0018948132350279881
CYP1A2-inh,2.9492174774398414,0.7571876343346847,0.5090376324101488,0.03702215174138928,1.0723788287665683,2.74252579640504,0.4779493028941471,0.114661855487199,0.29794031421710554,0.4343490448138726,0.05458359468288299,0.06713378765364608,0.0012544206304947404,1.5679894738874904,0.2083701589379604,0.03958913087357928,1.0870929582054412,0.4429849502295976,0.19518523540043828,0.4346612849647554,0.0009933351130608345,0.25073963735037286,1.802139859733003,0.3044820531979,0.30612824047439646,0.13781607672620724,0.7286816599104394,0.6276472294359775,0.05963104920693257,0.016547009549008108,0.06676894685316553,4.186290474244137,0.13849038450160994,0.17184736051910052,1.4844365319556097,0.4573216136050177,0.8472521437868721
CYP1A2-sub,2.358551300981844,0.0009211321903064736,0.5131509295056399,2.572562760413992,0.00611237371046629,0.007112320807800651,0.3202075933549886,1.976227557576173,0.0012931755000857759,4.559572922749758,0.10956826103085913,0.1681280451881052,0.10394245059952574,0.2861867230948759,0.5224562866240414,1.1758301215446023,0.8486284453699429,0.4191031141330706,1.643154425030843,0.6670637309735642,0.6105003079697537,0.03490867550712943,1.6249630427534962,2.494370926981522,0.03273765172246781,3.4524486415953355,0.17592795399881583,0.11327198223991117,1.764073503021266,0.6873966894208713,0.006904341341073494,1.1090227527047145,0.32662705687153454,0.01336376230560873,1.0395513398422012,0.0049451081899078205,2.00665139150001
CYP2C19-inh,0.6766126315275723,3.5695599679338677,2.8388961440019704,0.028127766059590244,0.04720431838733461,3.9808479107092314,0.04848394722057407,0.0003590704988634383,0.2406712066109925,0.06124934688338281,0.10662805385672684,0.004777233157376106,0.2794103774692205,0.983738006085349,0.16266821876355522,0.17391695203360688,0.07019029542873818,0.6072287320432115,0.1856640554753214,0.9756081065845917,0.1236574738054205,2.88110099859902,0.41808429369039674,0.18275837755787097,0.2638662859753552,0.025467918042529906,0.3361258914626492,0.506610587223701,0.048246044816744924,0.30444145916139864,0.4304714851468775,0.0016861226849655586,0.08690152217317927,0.07947395813314857,0.5060715300959521,0.9430009468684987,0.15046675566321857
CYP2C19-sub,0.6604086276893856,1.1168722798811352,1.4862193361343712,2.4145356253226655,2.133035790841148,2.29440834075966,2.3447876293317362,0.9970471662183664,0.3052606587559316,0.022195258891841253,1.4182533834196354,0.006013410782182778,0.03826551754109342,0.30518179120711936,0.9157131228777917,0.012923620664169138,0.6613797739145896,0.19418279564568605,1.656569889289718,1.5950781081922094,5.840426851151729,0.381648098282337,0.5599148842016405,0.0423746102970411,0.07955892279917864,0.0028646626181527794,0.17404254457113136,2.201006234998852,0.361827214158971,1.9948640566450875,3.130562590135528,0.20381674268936156,0.07830665909365053,0.07092579047265378,1.0977046420508796,0.26012870048298853,0.0011114858005405208
CYP2C9-inh,1.7293458618851656,2.9463969985741554,0.5115547291573013,0.01223721682626601,0.7822299761068373,1.1493759629414801,0.48192812320799505,0.06020566453309266,3.0362695116117497,0.030539321520846638,3.4471505359408796e-05,0.04548270701020774,0.022631017142631927,0.20562051934403697,5.848596778648618e-05,0.603918401231632,0.0007744419116958677,0.2262077058678018,0.32756481002384397,1.6736995631249565,0.09142757635679706,2.0793671764800368,0.47120491072711274,0.34580440761449777,0.16801648401102748,0.3657099604186804,0.015105439298450436,0.09085312577250831,0.06782114371145667,0.6831802677820438,4.780299546264731,0.7925202854610393,0.0004256995257697654,0.7248276880675856,1.607847030320891,0.5301496462563624,0.40069370411449245
CYP2C9-sub,1.1952847844317438,2.069102059896944,2.4616138356779085,1.1854987535673656,0.07372175619020198,0.027579389352593096,0.0547487434580638,2.4538677005534795,0.8901464551773304,0.008781003570251926,2.055711867118442,0.7545650961804674,2.588127819486453,0.020316886153734313,0.017300740359764987,0.004827264193895632,0.299495537625858,0.10855604526824571,0.0033231500039223984,0.0024472017238533527,0.23334892927964831,1.1644911226222399,0.24809121525673056,0.03466147204989374,0.04801219158415746,0.013193760888899375,0.39893519465738264,0.07125183188286667,0.007194066490366996,0.6992173530223773,0.17781910633324394,1.39913866848765,1.1841848350768367,1.5567733535428212,1.1299327993477222,2.031403167953141,0.0018920914912192025
CYP2D6-inh,0.019444079288175285,0.022805620175423744,0.04777390617042793,0.8360053075429154,0.621286893693688,13.828060060937878,0.08972816446146943,0.13762024602441664,2.9118143725045824,0.3958571143797076,0.014142894119840575,1.2204187124510644,0.49090251658932677,2.405437026342464,0.18748557179523814,0.04969161000821816,2.116339955380012,2.4469993740574094,7.873451076373608,0.141672920147812,0.7846077530561881,2.4492026376202114,0.27935981772718105,0.057873070537262115,2.5687252368583824,0.07128416512881317,0.17751779067126,0.13381348805987206,11.319999974773678,2.8774989137630476,0.5528089001669976,13.46957129987167,5.083952679665787,0.09325921270538573,0.09450549156689275,0.00069683838944939,0.25868731687037416
CYP2D6-sub,0.035690104390373706,0.15363461094916298,6.472425988095394,0.4712276694349952,0.0068439245605456354,0.002660292133590286,0.021445294154036114,1.2686742652497394,2.1473633648303876,0.4042427924784505,4.281401053241587,1.6298777350299813,1.9093428425525278,1.7482596566219669e-07,0.7123029702892822,2.893791108060359,7.816838623678947,0.6173094354985321,0.039570814987683306,3.3842251204774074,2.0170117463755997,3.6706810651853794,0.19044209784194618,0.005698991487994575,0.37626477383983137,0.06194874413157062,0.05750625857181073,0.008612724221202267,0.1626830525860981,0.6860201947281269,1.8939608018382699,1.1815165624592128,1.276667217690131,1.2106589392831193,0.5712148769864266,0.1842630075917255,2.484644101125738
CYP3A4-inh,1.8862464490520432,1.9042982689362145,1.4959653506347643,0.17006266927362865,0.00476059746172425,2.673033212551336,0.33841856574807844,0.017534061434272323,1.4012599340800627,0.30899673893645174,0.34214266077011984,0.05495926325779555,0.06566954353299738,0.3846503777164185,0.025355026160533152,0.15412848331189452,0.0499755980088249,0.299214394617378,0.34279868929248997,0.2588579055836842,0.19999429430090843,3.9912973708826316,1.6284509172273038,0.09614307601581698,0.2529523272256126,2.1681937263682354,0.7653531044727355,0.20760425930798485,2.3311070406930625,0.15581249289202467,2.300322932536911,0.006217951615465071,0.0036851678827975335,0.1801282720909563,0.7418210280863641,0.516360579736009,1.3545480293831964
CYP3A4-sub,0.2504320601261766,0.3247121129323292,7.465367192168852,0.8128923475901073,0.9489835459114511,3.3861364668642313,0.6748902670866469,0.044674490297579736,1.3670870222219367,0.016007937266075262,0.019469786111991304,0.43283050750351404,1.3358925235679264,0.00390747858443978,0.022575350830221188,0.008580748572061061,0.24085723472944315,1.142086855086842,0.7133913019491589,6.692341684636653e-06,0.025391355512545708,0.06451982173957188,1.9525437537688817,0.0179782035261755,0.4827731139051772,0.02499175464759693,0.015547175119203513,3.323315969406776,0.30164816426184576,0.48008848908501534,0.004888531599030933,0.5209812990635909,0.0830668404333806,1.4783428924118056,1.2779551824157112,4.932304512813888,4.0806325068254194
CL,0.03406576455307642,0.18655856809070756,2.1582206231206458,0.12881897814956406,1.9916884432878714,0.2479564342442537,5.0076956601202545,0.9198719868279742,2.1749972839681586,1.614960570200375,2.673005327590676,0.6229597680779474,0.08832244644420603,0.7947996141003303,0.0004094656397698031,0.037800062917437864,0.009494578514828593,8.190364264239774,2.371472083071792,0.16892460333134104,13.06041010530964,3.782508504449525,0.3837070506616989,6.3316071762064166,0.042305953915381916,0.10676141696690618,1.7032766310018626,0.7602888954057913,0.44727866992586446,1.3754823348377343,1.6446571510786934,0.9176930893359162,0.6155583270648605,2.2348085042533845,1.498546764538337,0.14890598554238937,0.07076101591998508
T12,0.03906812587559939,0.027845741077276328,0.909921725069013,9.741055388404586,0.49134661988530903,0.4288814949705468,0.01335125925808153,1.9991743378238176,1.1205359245674387,2.061816018542347,0.02153535430918478,0.02423267536854258,0.8799433979796305,2.4920613392225843,0.019901132530129498,0.00019140188757206753,0.7157691972350674,1.016745685058876,0.40357879706623956,0.8879229972030105,0.7027948017140776,1.6557211074792952,0.38302941421899117,1.0338403253761401,2.329661534213674,0.6274922717879478,0.009259593268786458,0.775964726690103,2.8859552479945045,1.2680612566350924,0.5181375074707738,2.5338943501701223,3.32605956369305,0.08173639768511577,0.76300832553205,0.07091728077794066,1.4376057406925709
hERG,0.35625823812903185,1.656772137385288,4.003952294731201,2.0087152162176913,0.39306505155791055,1.9218124725092798,0.09538029053073084,2.200153007646782,0.0224594851749375,0.03559536388708088,0.03926046956617861,1.1388155300820126,0.6318737864656407,0.0017295970648984426,4.298556609739071,0.4662382974560817,0.15613592002761384,0.0001978005774229763,0.05643394490577068,0.587684891079246,1.1820537747824438,0.03620131368602396,0.6518011568965633,0.4892137395172528,1.1478516350861003,0.0021320076905396754,1.9879141232064352,0.2665797320812522,0.3575193700133465,0.1886571598213903,0.096801479408489,0.8901053389770294,0.17178232189252962,3.574295422961978,2.083396081324934,1.9903450775991094,3.6107915581801966
