MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond do0rs,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
465.52,32,6,0.52,11,8,2,118.87,162.56,3.17,2.67,0.59,1.12,0.66,1.64,-3.82,0.0703,0.000151,3,-5.74,0.000856,1.84E-06,2,-3.08,0.385,0.000828,3,0,0,1,0,0,0,0,1,-7.24,0,0,2,1,1,0.55,0,2,2,5.04
439.57,30,0,0.81,8,6,0,124.17,113.81,4.14,3.1,1.65,2.92,2.41,2.84,-3.99,0.0449,0.000102,3,-5.16,0.00305,6.95E-06,2,-2.65,0.995,0.00226,3,1,0,0,0,1,0,0,1,-6.78,0,0,0,0,0,0.55,0,4,2,5.25
440.48,28,10,0.38,8,9,2,101.72,234.93,1.17,-0.67,-1.33,-0.18,-0.84,-0.37,-1.89,5.74,0.013,4,-3.79,0.0715,0.000162,3,-1.39,17.9,0.0406,3,0,0,1,0,0,0,0,0,-9.46,1,1,1,1,1,0.11,0,0,2,4.49
519.58,33,5,0.56,12,11,4,121.16,278.76,0.96,-3.98,-2.22,-2.6,-2.02,-1.97,0.13,694,1.34,2,-1.28,27.6,0.0531,4,-0.58,138,0.265,3,0,0,0,0,0,0,0,0,-12.3,2,2,2,1,3,0.11,0,1,2,5.35
365.4,25,0,0.44,6,6,3,94.43,147.26,1.5,-2.27,-0.45,-0.04,-0.62,-0.38,-0.28,192,0.526,4,-0.29,188,0.515,4,-0.48,122,0.333,3,0,0,0,0,0,0,0,0,-10.14,0,1,1,1,1,0.56,0,1,1,4.97
424.39,29,5,0.31,9,9,3,100.38,199.06,2,-0.16,-0.92,-1.27,-0.97,-0.26,-1.9,5.29,0.0125,4,-3.57,0.115,0.000272,3,-1.35,19.1,0.045,3,0,0,0,0,0,0,0,0,-9,1,1,1,1,1,0.11,0,2,2,4.74
514.58,35,11,0.36,8,7,2,132.79,207.46,-1.94,0.29,-1.42,0.18,1.53,-0.27,-2.92,0.622,0.00121,3,-4.21,0.0318,6.18E-05,2,-3.4,0.206,0.000401,3,0,0,0,0,0,0,0,0,-9.23,2,3,1,1,1,0.17,0,3,2,5.02
479.49,32,10,0.38,8,10,3,116.12,244.35,1.99,-0.85,-1.56,-1.39,-0.83,-0.53,-1.98,5.01,0.0105,4,-3.8,0.0759,0.000158,3,-1.46,16.7,0.0348,3,0,0,1,0,0,0,0,0,-9.83,1,1,1,1,1,0.11,0,2,2,4.9
454.51,29,10,0.43,8,9,2,106.69,234.93,1.11,-0.58,-1.02,0.08,-0.35,-0.15,-2.02,4.34,0.00956,3,-3.88,0.0595,0.000131,3,-1.76,7.81,0.0172,3,0,0,1,0,0,0,0,0,-9.48,1,1,1,1,1,0.11,0,0,2,4.62
539.58,36,6,0.48,9,8,3,138.34,207.18,1.78,-0.18,-0.62,-0.15,-2.15,-0.26,-2.6,1.35,0.0025,3,-3.72,0.104,0.000193,3,-2.09,4.4,0.00815,3,0,0,1,0,0,0,0,0,-9.72,2,3,1,1,1,0.11,0,0,2,5.11
520.47,36,11,0.35,10,12,4,121.25,231.6,1.42,-0.58,-1.51,0.27,-1.73,-0.43,-2.27,2.81,0.0054,3,-3.81,0.0801,0.000154,3,-1.59,13.5,0.0259,3,0,0,1,0,0,0,0,0,-9.89,2,2,1,1,2,0.11,0,2,2,5.15
497.63,33,0,0.73,10,7,1,138.42,159.34,4.21,2.27,0.52,2.27,2.17,2.29,-3.7,0.1,0.000202,3,-5.25,0.00278,5.59E-06,2,-2.13,3.68,0.0074,3,0,0,0,0,0,0,0,1,-7.72,0,2,1,1,1,0.55,0,2,2,5.92
389.47,27,6,0.53,3,5,2,112.93,115.25,2.32,-1.9,-0.06,1.46,0.77,0.52,-1.02,36.8,0.0946,4,0,390,1,2,-3.13,0.289,0.000741,3,1,0,1,0,0,0,0,0,-10.02,0,0,0,0,0,0.55,0,0,1,4.42
285.32,19,0,0.67,3,5,2,71.6,112.37,1.53,0.27,-0.01,0.36,0.24,0.48,-1.58,7.49,0.0262,4,-2.19,1.84,0.00644,3,0.04,316,1.11,3,1,0,1,0,0,0,0,0,-7.85,0,0,0,0,0,0.56,0,0,0,4.78
267.28,20,12,0.12,4,3,0,77.33,46.61,2.45,2.7,2.45,3.3,2.3,2.64,-3.38,0.112,0.000419,3,-3.33,0.124,0.000466,3,-4.43,0.00995,3.72E-05,2,1,1,0,0,1,1,0,0,-6.01,0,0,0,0,0,0.55,0,0,0,2.53
506.58,33,10,0.26,8,8,3,129.25,241.88,2.45,2.7,0.81,3.3,2.3,2.64,-3.38,0.112,0.000419,3,-3.33,0.124,0.000466,3,-4.43,0.00995,3.72E-05,2,1,1,0,0,1,1,0,0,-6.01,0,0,0,0,0,0.55,0,0,0,2.53
481.52,34,12,0.33,7,7,2,125.73,153.33,2.99,2.73,0.62,2.44,1.43,2.04,-4.34,0.0218,4.52E-05,2,-5.6,0.0012,2.49E-06,2,-4.87,0.00644,1.34E-05,2,0,0,1,0,0,0,0,1,-7.3,0,1,1,1,1,0.55,0,1,1,5.02
