,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
Ali Class,2.8920296378709184e-05,4.247360408455099,5.081444902020649,7.124040453664386,0.07987286538462512,1.002860376804086,0.3704675782914582,0.34385029673009027,0.0623279140371586,0.011047394422644687,0.022278473589071736,1.538745301155891,0.7022250368900065,0.008713324219625103,3.554935375246758,0.45237399823741403,8.829508097969963,0.17930454398075912
Silicos-IT LogSw,0.6801180912129312,5.896503156145862,0.6273483402828587,5.539585786824688,0.9629919963395153,0.009764630503360964,0.0010675318370564988,1.635476493423133,2.0720698820924324,2.545631740116848,0.2910782884156677,3.0170713190413907,1.747119290218307,0.16551943000493172,0.2564240051054617,0.3428939944108961,0.4299360497987747,0.11750139901703152
Silicos-IT Solubility (mg/ml),0.215101236586912,0.3927610943058316,0.059022797788407085,6.980682462410943,22.175928085042496,2.7740248268793106,5.03222295416529,1.1498539370714103,0.3344525711380916,5.254334821034401,0.000438664412545228,0.8671179744504978,0.1473132671895773,0.6817384977358545,0.12993041022136637,0.3521917653295023,0.2026840702929213,0.8314912950190532
Silicos-IT Solubility (mol/l),0.1424226743525297,0.7135905452762883,0.24156736148534166,7.24119885413667,21.224882742092497,2.842497166316497,4.238169425891076,1.0621867024127347,0.5309978447919557,5.227623150813711,0.0026037146447321882,0.5564394657888635,0.40659906891911746,0.8406676572696494,0.0793693343393778,0.34765897639094845,0.34299942815818396,0.3401094008873564
Silicos-IT class,0.7118096107766128,3.6008086001151325,2.340737157207994,3.84595637201292,1.6796251956346149,0.9650375533944435,1.6414833892329093,4.162588248587673,1.4425834149998487,0.29891154992953073,1.7240434883158875,5.398614917572833,1.448207404207963,0.0290456259187552,10.145108552715982,5.068232952748004,3.8342943257908524,10.984881703820509
GI absorption,3.9863884880399456,0.0036827517872810973,0.11854125038105935,0.005976997921902515,0.5026708734366512,3.919657190466378,5.193305128540596,1.4394858900689433,0.45971904815497283,0.10530057892114714,3.5566512862639827,12.037160171472836,3.2413672121842034,4.107213556812022,7.07067998908937,0.9978506856764149,2.6219695723053613,1.7682065516049905
BBB permeant,0.7263589893078622,0.20856396767926622,0.18379323819530677,8.48852640458596,10.427835554436426,0.00048649010304449445,1.4438386647639192,2.0111805021227265,19.5695844328946,0.2630583976829368,2.5926565966638124,5.00335737742843,0.6299348815877617,0.7570335155344352,0.33909992234814795,0.014577795880066594,0.0026101473683167713,0.00043903744093077635
Pgp substrate,0.0010103182211035318,2.5237000934005818,0.6781671195446196,6.014204135670482,0.22249561208889063,1.4710073437509201,4.043970758348472,7.968150230610468,6.523579356205834,2.479269485038603,8.554651046093857,0.030872003349759095,6.1882121954957885,0.4709839012353829,8.57933530825687,9.66702092926186,0.7127109761940992,0.16492392226275704
CYP2C19 inhibitor,1.9784813107107422,1.7113774313163264,0.9553489608470656,1.3422483582397484,1.649980274334313,5.041844070896224,0.003982604181992035,0.16273030922334453,0.5582010147239639,0.28981663143516084,2.7532793474589803,6.054223336757666,0.6576115852480089,30.822753163697765,5.248788856239004,0.1889394871941492,0.00015830991480106704,18.588395529206526
CYP2C9 inhibitor,1.0746784254702983,1.0925137498911455,0.9134859379899914,6.154473573344392,8.499049720571328,2.7971833062031757,0.5172950353238047,2.2269694104278837,2.766754042819172,5.682194152173784,2.163453303865167,0.08061446407195899,0.24374851798096633,12.871654642094729,2.1677292382121465,2.183174986220421,4.911440338435774,1.7810850207934543
CYP2D6 inhibitor,0.2876943202805732,0.3622972336096998,0.4798779634903573,0.5431053883632083,1.2759091518482628,8.596232191155098,0.020578000877680414,0.5155624791763522,8.959977975216066,33.907436436315685,18.001583791581254,3.152234259564458,0.732229584385286,1.3842110163933279,3.050196556344623,0.4656203312072757,3.07807600294,0.8947597727807214
CYP3A4 inhibitor,0.5501836097892485,4.082291956934618,1.9725013703837686,0.3609810096984932,1.493335237829649,7.068105921516367,2.1262537498784986,8.04097843592293,0.5184915381869387,0.6252598918265878,2.1016803407572056,2.0810671747896072,1.382743964033082,4.4923562742275,0.7003666340699826,0.5494547313797155,0.7090039792231172,4.334706259398186
log Kp (cm/s),4.920511566983348,1.6659057403824746,0.027403483216096095,2.6049434387571333,0.5319389182455168,2.2112781971602398,0.49837259328145517,0.012465163086680164,0.8508859939031546,0.15291789876626266,0.005020907070012436,0.18670573127945078,0.665777046106716,0.6057441434870869,0.7775519568813253,0.5971264769623578,0.3688728020843315,0.4773143668874582
Lipinski #violations,4.93475627979246,0.703808187392506,0.31016457715182183,0.25389242080834695,0.06385526478811081,0.03084821008585356,2.6432141177698223,2.9698403654771632,0.1148360049094495,0.07635306490318651,0.572715009074235,0.7883560873669725,2.978265144914023,4.145838881451219,6.276373982486971,0.3881679944205056,0.5390894974770881,4.665394103714259
Ghose #violations,4.618840443549148,0.4992245192837061,0.7098033584659253,0.10181020112409844,0.12808159317220472,1.3120257978646224,3.8749458671075194,2.4798498530131274,0.01057788982392805,0.1573663715371479,0.43512491099702905,0.6065569592129864,1.353379110204725,3.316693292917991,9.90398328709833,0.4452750014962244,6.462744324052874,7.647737241528185
Veber #violations,5.2258698517891045,0.31381109343043867,0.001729031896807227,0.00922399472743504,0.003489930586190235,0.04661380639228887,3.575869638484938,0.07460001849679675,2.3781310822057216,0.3200100252594104,0.014372085456237521,0.0028056719202088284,0.40424920051486357,1.9979377387608368,1.837749947982159,21.403777015199612,0.9097335262337654,1.0817166631297055
Egan #violations,3.0994994990988536,0.2739941103164662,0.6298395908289941,0.20449490543837254,0.9511170721710656,4.392612105638198,10.259582622749212,3.690858122277342,0.03231172298803535,0.12456931450812479,1.8621052588538547,8.943852758503933,0.027188455689925783,5.829447163726333,1.2742558509823394,10.940687629659703,0.13423049134791615,3.139175974139806
Muegge #violations,5.520515276420757,0.005606378044867528,1.3377652166443104,0.41856474049477893,0.013477188946537079,0.8062180225831005,0.40928387907493236,0.6306516148820577,0.5161362777193658,0.932182329539054,1.4407792551311744,0.823337265000894,0.16363179943721132,0.03403948836179459,0.2799903604144882,13.148969707399672,0.05692960915566126,1.2930204669818242
Bioavailability Score,3.887651459335758,0.10229978682259966,0.0255877502468306,0.10324456598280693,0.5995112165349186,7.661556713790434,0.2158786466478519,0.33201974488611236,3.0483768884455213,7.197970637242183,1.5855274092468354,0.17395103315394594,4.026018013642474,7.829530477926425,0.07672451149910983,0.02776025988346749,3.858121937503363,0.4752351931098765
PAINS #alerts,0.17975809189967687,0.2479235020366142,0.2830053861767796,0.02861071352966346,0.0027957723921826242,0.09150119940205291,4.416509979765278,37.093196156949574,1.4277626266539052,10.379946842128014,15.388057295310045,5.527290072469661,6.838954799451599,0.5233820645453469,2.7443195859869975,0.22882597492928117,0.3778720318892832,2.341831995890313
Brenk #alerts,1.480750605729126,0.7256916532437483,0.10263736841976279,5.328120584685038,0.7403536877090089,0.16416119115797434,13.246622953125781,6.545544640938146,4.88515685001081,0.28989432643597934,8.802401609385026,0.07674187292775349,1.9389527498163492,0.6214343355015379,0.1587981046768171,3.7970142772770754,1.7847925942567737,2.707875027982082
Leadlikeness #violations,3.1678477456638916,1.368830609218315,0.4123898763088564,0.570471559719825,0.8815299649093232,0.0055263579477473805,0.856553682544515,1.1145137821869378,0.5636765600247742,0.5267066902143591,9.760617553367815,3.5852783031431885,11.963330177363117,0.21793274941507823,2.0100496372852805,0.15236217378700306,30.97289256283299,1.2388094313746767
Synthetic Accessibility,3.060807442740839,1.5447423093169528,1.449978036434275,2.893188974368154,5.425152558258877,4.0934874612050285,0.01179027487532694,0.09202988020860298,1.2702569527538332,0.009321209457908902,0.1674254736978464,1.3181732402836235,0.3415404914150123,0.773538113655342,3.4410532041753426,0.24588908280798383,0.01566753723681917,1.0831192297883279
