,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
XLOGP3,3.0362714069336514,5.15292674158004,0.019715156060266775,1.986670949025511,1.0520067917439366,0.632015876402778,1.2916026948593504,0.0022029143176681555,0.06622474020775092,0.028008360242507444,0.015728803763342097,0.7004966695107345,0.00013901974913389418,0.9801504733599786,0.1894672890664746,0.029541318039023687,0.3534168709180153,0.06552877326707843,0.03914473548778108,0.1489529966793239,0.010023228587665987,5.930357487056832e-05,1.8920233840483403
WLOGP,1.347310608785722,3.767531947409749,0.00015576932324584225,0.009767500251148314,0.12779486857132333,1.6845518032873468,0.47517311416156266,0.3710580615973391,0.1417376275624617,1.734460147836559,0.07881442345502804,16.325575126637897,0.8167796136996412,11.229703236734515,1.7885670940712362,0.00888957033981915,2.2527451211597858,4.557842749523547,4.5975118562268005,0.35151425128049296,0.0667805204890853,10.46023120187498,1.2447737998727866
MLOGP,3.977187062014099,2.724757850435009,0.12485121478976399,0.3360767021673062,0.1511078912106131,0.0004362039986128084,0.15059777543833322,0.3490506295168186,0.8320991041386614,0.25856151214741685,0.29559752253430016,5.30580528497316,3.4415379880784496,0.4003349614438839,0.5840988820960741,0.01890572755651539,0.09050078913256707,1.3014469356139429,0.5911816546059495,0.05031372629713148,0.9526566403180157,3.300879974096743,1.32417123139766
Silicos-IT Log P,1.2532771532157383,5.624402062496467,0.20469940550871926,0.581965036300066,0.4030918131190328,0.2535344557883975,1.1324349124064277,0.7766392261331454,1.7213570204398807,0.20836620664936237,0.10070581717966526,1.5949246182483252,0.515906544174775,5.746516764866741,0.2770400491979035,0.2057387705442094,0.7544030072194075,0.03197742947884965,0.4211923813388092,8.036934943323834,1.711069209964443,0.014854618362538692,0.5770725285489858
Consensus Log P,2.3079586643092633,3.9541748017602183,0.12346133293071981,0.007992411556606623,0.3253516386774966,10.24973468963684,0.41816614295337834,9.413529144928372,0.07949932278547421,0.016406468639384032,0.23704949446624454,1.2316882095612225,0.45595260083945044,0.0188293363999824,0.08253427730394257,0.08608420823318436,0.13155286156058205,0.08293994967191606,0.02262871133302905,0.47988435376793703,0.40413561999727937,0.002288200272805214,0.1632048735374594
ESOL Log S,0.5724809706540154,8.072012624972054,0.019032207433786228,1.006209025751038,0.5581439630966073,1.1701555429189414,0.3276094107274257,0.009035464992824553,0.4992520987953163,0.05693485841838841,0.08868380528593606,0.1697022127345195,0.019123197464518484,1.5996213148717506,0.860180339120957,0.6516163866003897,0.020251404908882803,0.0003282047984085636,0.05184045157490504,0.011691693868411932,0.08554383854216419,0.00019509279295816306,0.13664773308808845
ESOL Solubility (mg/ml),0.27346475849926805,0.0801878833430257,24.007753097733513,0.1726823882481406,0.06295522246619559,0.10188977579211202,0.11243040767358592,0.03838126371344212,0.01132325820613344,0.0007487162397496392,0.002766716517130555,0.019833549463271094,0.0003915167575231158,0.008308822282897513,0.0004967447515365024,0.0001298605723953567,0.0037473438559187783,0.0011980003506712547,0.0002549510890001293,4.953164518565736e-05,7.2631519853936806e-06,0.0001403509569298829,0.0027749753949327396
ESOL Solubility (mol/l),0.27205021118709505,0.07991360346123681,24.01173786863878,0.17397871860745506,0.0635508590536086,0.10276762191714602,0.11453908171815118,0.039027300662604944,0.011469991898716825,0.0007518340936759965,0.00278128125180679,0.020599149501677728,0.0004211876149870569,0.00860702530376439,0.0005284317856063922,0.00014378223642758073,0.003879876973464453,0.0012291893599244196,0.00025056195213706624,5.152272637457376e-05,4.540677022203431e-06,0.0002198889572294176,0.0031456151764269295
ESOL Class,0.4228099841526022,7.732542075586613,0.06359625565914014,0.8011438940826772,0.5124100331650843,0.941676627255841,0.29400861627821157,0.07101745749302081,0.2884131875231182,0.0008783962328181032,0.17760811143588912,0.17361586335292858,0.022250705392210166,1.9274191336443696,0.9941549285170926,1.2217602692920053,0.04711013076011419,0.1743654400095054,0.11745442145757885,0.000632148400014625,0.25845232544988994,0.07212582941671655,0.5627741729743989
Ali Log S,0.2155250314946989,7.841815179940127,0.1041902457494993,1.1225830743392078,1.1100703264123302,0.8719672328096049,1.9016607011113735,3.7459581638313855e-05,1.1480794376359027,0.06332675799529958,0.030617391471530912,0.9336632253513069,0.011789225892118444,2.0717619756757104,0.5426332505984515,0.11719707840468192,0.17792447242965836,0.9658145087837217,0.05911984991556236,0.29870076879874796,0.3461047533729214,1.5642909276344412,3.6600691768372426
Ali Solubility (mg/ml),0.2655817644854929,0.07853573825788765,24.019123539016267,0.17972857731275382,0.06624314236109767,0.10704657387084922,0.12309915599005396,0.041728170482473445,0.012208504515885066,0.0007745792791213885,0.002926398846569515,0.023532553980215972,0.000514892912154124,0.010022187507181637,0.0006416325617366131,0.00016783204756521612,0.004573283837503483,0.0014565963624002902,0.0003003381554254465,5.230784766822764e-05,7.426068685535011e-08,0.00045317412329865127,0.004787417011640903
Ali Solubility (mol/l),0.26487106291059037,0.07839343984949776,24.018730371703228,0.1803688880226345,0.06654255622445597,0.10748572454965927,0.12412573421647285,0.042032625203259295,0.012278887840212046,0.000775643611622358,0.0029341765370406976,0.02390453608742004,0.0005286249133359454,0.010186900193230928,0.0006582234753893198,0.00017367106518137933,0.0046454095068402795,0.0014797774390417318,0.00030136972848906313,5.350334595705527e-05,2.75215183800378e-07,0.0004965260441594005,0.0049898794858209096
Ali Class,0.13667085814947727,7.4437862378918185,0.01994057272813287,0.710061216169862,1.1269140628720788,0.7400579975523178,1.7415682852488596,0.1675196725730084,1.3438630105497984,0.0052236562163186315,0.0018911913597851582,1.0019520192041376,1.736494516401306e-06,3.38578841979505,0.9479231778716743,0.08063244313639503,3.18977776234993e-05,2.4451139258374965,0.0014399980811538086,1.467996082141394,1.2814895720230275,1.4210571437375166,2.662641274303803
Silicos-IT LogSw,0.12003677934941223,7.520317697728197,0.08777544842783405,0.046807560435928895,1.4921646491189537,0.8950987811781494,1.5492541675137397,0.9513320719471698,0.262212972780005,0.026737350743924894,0.11781988968139159,0.1451170280209214,0.716623476374463,1.2011450073135612,0.06237420532342007,0.09110014743486468,1.7487069889198064,1.1398624624242453,4.0561117548131955,4.670246037037987,0.7199926948820004,0.25765330728155494,0.3595612030077952
Silicos-IT Solubility (mg/ml),0.1869571541108088,0.01669401202743311,0.03801599216346571,13.471426806746049,29.647156024354164,3.1395910848626536,0.1810604460901037,1.1044044178524575,0.817935170475231,0.0007103782840485246,0.005502217450122002,0.1865283395030168,0.009053533595461079,0.16975236750003486,0.01691558210985619,0.006123171693346426,0.03689442754075062,0.00023539068812514742,0.1078619631233011,0.17902342540873883,0.004675267342977818,0.16804986101745578,0.007384223312418236
Silicos-IT Solubility (mol/l),0.18701250632341826,0.016704013130653124,0.038023462561029515,13.471682756801359,29.64713118314954,3.139229594447783,0.1810347957380875,1.1042102034586085,0.8179264206827361,0.0007123564667955028,0.00548995821677916,0.18646137425243897,0.009055138988093056,0.16966495708358864,0.016890767257641607,0.0061059982458609744,0.036921093422283315,0.0002338349327351256,0.10778980987296138,0.178931361550379,0.004670587695981854,0.16793047928665555,0.007399669105090345
Silicos-IT class,0.008233526694705619,6.320063142020937,0.13606274300889223,0.7592561533924416,0.8825603097570436,0.9604884234598831,1.2542079754364845,0.03903633393585012,3.6730357615443134,0.6691665322869199,0.004410003041405231,1.4746900327157877,1.4144552960955974,1.8261694393671524,0.04080078851746316,0.04898465053118447,2.9351803945725448,2.282430166543504,4.561736690532939,9.421085621573036,0.23825771573160207,0.36401045922955755,2.5322636419283
GI absorption,3.8278498141635433,0.006734248676655949,0.29078920500094396,1.0483981990468332,0.26356711700299834,0.08289699213317173,8.657269145803518,0.6543793396214876,6.426592312588235,0.06520150650766512,0.16701662410045123,2.1791581922289316,1.137968531271046,7.999431189805165,0.0011092477511465773,5.354419581083893,0.17109197966245313,0.07858071683757245,12.336703546009513,1.8309354583348905,7.808759570487286,4.027474689577212,2.306081142749732
BBB permeant,1.7514173129776278,0.14515711591610642,0.3027155306045436,2.860516053625424,0.021189694039954392,0.8915820804169601,1.0204315053421684,1.054026275655782,0.007711486865912478,8.488745187153807,37.79416897483503,0.08287046267579667,0.042880280158371815,0.1728339609324974,3.8251754304592636,0.7670370714595052,6.330373076941687,3.3648583208319045,13.881185304310776,8.907461010923972,3.057034928442618,0.395399425843656,1.234871882281099
Pgp substrate,1.1827199037437386,0.7997072048254219,0.010294672632883188,1.095366180532663,0.23245624171023943,2.690542526152166,5.1484862433989145,9.060600802834173,0.232691342007888,3.0704661805510245,3.0644025468390077,20.001407504559992,8.771589566023737,2.8886188966600703,6.475706780702254,0.07843187086848744,13.039891399489356,0.008054093823773329,0.5967283893883074,2.7493885210559865,8.269839025299213,0.4571877642570667,7.354125692798687
